order_id,cust_id,cc_id,cost
7787738710,49954789,98681,9685.85
9440547875,53698595,33440,274.88
4278013254,57322064,47610,5253.14
3255574062,40290330,34095,549.78
5303840154,93132710,95119,3.81
4392711345,41453064,48616,3553.59
4402976157,38508049,39712,317.47
5383901615,73083679,59480,2.34
4893312850,42339698,33102,1.55
2891528289,38011933,25068,3.72
1790382234,13711253,43201,7.27
6388681159,66319535,42908,84.99
4172466617,81212594,18274,327.45
1267289818,79622541,41842,788.78
8118561859,41101492,93713,22.31
4643522139,68794730,31241,862.57
3013808659,48497859,95032,30.95
5267485798,15173061,77347,12.31
7000351064,83751044,82163,160.41
8580343345,35172159,89600,244.33
6720272339,65726916,52880,79.54
5466161145,37701748,43280,1902.88
7414292628,61491292,47667,5363.68
6918914565,53058081,97118,522.54
6602041655,29786720,45403,18.92
6669244124,43221963,51875,236.73
9953607285,42985975,68915,162.78
9507739513,90012135,55177,8.72
8498113956,36354647,40345,5.76
8431243517,55002879,40101,60.18
2041369351,49342952,59144,896.77
7488433904,99032536,95990,726.95
8171277653,75360472,39013,9.22
2149251680,24589030,79148,4442.60
7509018640,27212981,72081,2.25
3971248733,15149017,49974,7.32
6085309668,93060890,79670,3.40
9481104111,46582116,63799,6615.86
6771448686,70613645,92703,41.38
7367646293,32303917,65589,1.58
6113362115,76859650,79451,8.76
8633749406,71736943,94227,97.46
3446552956,46554015,84387,2.20
2974340385,69188342,15886,8679.43
2244277990,58711426,74214,237.35
4347255709,62340525,99310,6357.88
6507782543,54913734,15164,516.59
6374011935,56540484,62438,1.88
6304866095,84856643,63439,907.75
1212681023,41079077,46983,21.35
4865193648,16578163,26296,6682.18
3737922613,89202568,34096,8448.11
3563887448,79949663,28023,9034.14
7101663289,22452291,72750,966.53
7698820989,38811558,18815,256.22
9133782079,84365945,85763,9238.56
9335837212,68549831,71233,80.64
4066531139,89390142,94340,81.57
4361448836,94458779,40289,197.97
5415171555,46694652,49749,53.48
1795417093,17129911,82163,440.32
4128282040,75343806,81186,7458.14
4447276390,76697822,96415,7.90
9311097171,34710344,38967,9393.85
6231895848,24713033,38099,172.92
4149060528,91635259,42536,243.26
6722193481,99256422,40123,8.41
8286766687,35057344,24009,8658.52
1346269704,69857280,59150,6631.60
8940209933,19037688,40545,18.95
5524592725,37296431,50238,1720.60
7934746982,14250532,25718,416.20
2796085815,33178342,11449,326.80
4166339605,56062637,56278,10.42
9777665842,40388214,34488,75.65
7327332917,19323516,72650,48.28
2222547171,73293905,12316,7494.27
4117053711,63995171,77816,2.39
1052010871,54282199,97833,2.13
4491492054,87662782,73996,141.53
4241474055,25376016,78690,7.20
8127087983,12115855,36258,8974.44
6773208088,30379604,55533,5926.53
8262244175,35260341,14733,897.66
9736044988,28176096,27563,8536.53
3279828783,22625175,14114,151.46
9202015513,58044422,84101,566.73
4060394341,85794540,41648,70.44
6595541539,93426449,43530,1512.88
4573595686,78808402,15968,278.15
1418321015,54840925,27213,702.46
4924294104,59392417,30418,1765.59
7751815493,78903554,92534,8843.34
9617399554,94322536,44469,660.43
3017418928,23031524,92283,215.56
9813920091,12560147,32775,8.20
5088398528,59975309,77009,115.47
1938361288,85750521,74030,6206.86
8626921628,25282073,82955,3496.71
1535994742,70007601,19157,700.42
8983632858,42003178,85083,5644.89
7198504698,68366947,25957,6.59
1523389644,75273040,74651,4.43
6464787899,52981331,77085,4.87
6108750671,50615043,28125,2.25
8946402755,84582044,50429,4943.35
3850302152,55716110,18956,25.86
2074901286,89547338,75694,56.85
7613449276,41596309,55779,738.94
6674543964,27302851,20242,6.29
4625752756,11758527,17124,6827.18
2004115728,40042591,99502,20.57
2796766484,20423808,90008,183.52
9446016568,42883273,77590,7910.29
1596501315,14090259,28031,8.47
9377684280,57205617,61123,67.93
9623489723,15920211,76535,35.33
2970325765,78555175,95907,4.52
9408210320,52171427,60671,7631.49
6673869294,46834867,49421,95.79
2604192347,60681334,44184,436.46
6607183486,34732711,49323,2554.56
3010854362,11275983,31365,3635.96
5996445719,56387710,82989,8.91
9890157143,77694699,67953,8379.84
5413976944,58061981,47608,668.97
2510457028,85134632,92739,5.48
3811254123,94119122,85138,2305.63
2560498662,11638284,10503,1.80
4274632559,76129758,54891,58.61
6476472183,54385712,85461,1.65
7362107272,30184259,82426,6801.17
5684462340,86712021,19136,1440.43
4140867978,63832586,61407,36.64
5660202539,51328965,61114,969.58
2496596703,12358686,28295,8.16
4368923467,33622640,88948,827.89
3303036517,41558076,80769,26.65
2697777074,25041579,49416,6423.18
2064459043,45061944,91490,44.57
1964187171,81926151,87954,7.26
9295749939,42838446,48824,39.29
3336974553,20323588,71321,49.85
9945623968,16759495,97262,3919.89
8775053537,29249688,15751,12.71
7833568697,15940854,40206,8.49
8546213243,61342273,51613,9999.52
8184163009,38654982,44496,47.24
3993699303,17191576,99396,1823.94
3891915261,66427968,78736,9228.45
2911817148,34193513,90050,47.53
1284141212,12564350,76716,31.88
4949788243,32319949,94209,4771.46
4598886370,17753600,55799,3593.64
4458940653,65659136,42206,830.77
8905031496,40017508,78617,51.42
4365196790,47840859,69500,2.78
3262913786,55757234,67060,8491.20
8658868866,87424472,21530,385.13
3253831681,35613495,46999,679.16
7908212590,34266183,56591,6.86
9600824370,68496023,87983,673.76
1940880769,77114372,91353,230.14
8702195398,95706670,92573,77.92
5439837555,81926151,88273,9.81
2932104464,22209166,16556,34.24
8772015360,96171814,19177,84.36
8374510968,42214145,69491,3405.80
5271538460,92984274,67939,3.99
4237358708,27896570,26092,5.94
2918927365,40832677,75267,9574.67
9954303869,20206839,15219,685.30
1615323207,92984947,34549,500.71
3778664803,92938916,26539,53.63
1304407981,58460317,92571,806.93
6120361459,47860022,93876,86.67
1747691817,97364919,81186,520.72
5863635166,71736943,16564,83.13
9077163950,91416728,12516,3931.60
1235373075,93113286,98050,52.68
